,speed (m/s),speed difference (m/s),distance (m)
50,21.46,0.5599999999999987,47.16446407378062
51,21.89,0.41000000000000014,47.66243830115227
52,22.21,0.2666666666666657,48.663493072101716
53,22.43,0.22333333333333272,49.3860184582028
54,22.76,0.06999999999999673,49.80791207767537
55,23.05,-0.043333333333333,49.93510164390574
56,23.31,-0.12666666666666515,49.772395194480765
57,23.54,-0.17999999999999972,49.36634095938045
58,23.67,-0.398333333333337,48.82637775879258
59,23.75,-0.5666666666666664,48.17494075188783
60,23.78,-0.6850000000000023,47.448552442432536
61,23.77,-0.7633333333333354,46.76437323592809
62,23.73,-0.8116666666666674,46.13491411475728
63,23.55,-0.7200000000000024,45.59543272173175
64,23.5,-0.5983333333333363,45.05767855440591
65,23.34,-0.36666666666666714,44.64080954463577
66,23.13,-0.0849999999999973,44.37140153545296
67,23.05,0.06666666666666643,44.256192282766555
68,22.98,0.20833333333333215,44.26615699952198
69,22.84,0.4200000000000017,44.38178348166323
70,22.89,0.4480000000000004,45.00213448688955
71,22.98,0.43599999999999994,45.54979757561628
72,23.07,0.4239999999999995,46.012612893329425
73,23.25,0.3219999999999992,46.327325466935726
74,23.33,0.3200000000000003,46.51491109069014
75,23.51,0.1999999999999993,46.73925096973905
76,23.69,-0.129999999999999,46.68779104371734
77,23.7,-0.28999999999999915,46.55145160314143
78,23.74,-0.4800000000000004,46.4010377374395
79,23.67,-0.5600000000000023,46.239492912678216
80,23.67,-0.7600000000000016,45.572176173891776
81,23.58,-0.8424999999999976,44.475316331357234
82,23.38,-0.8150000000000013,43.528102448316325
83,23.21,-0.8175000000000026,42.73799141601604
84,22.94,-0.7200000000000024,42.20433508550494
85,22.6,-0.4299999999999997,41.68500317497461
86,22.3,-0.019999999999999574,41.66190217556863
87,22.13,0.26000000000000156,41.87523156298993
88,21.93,0.5700000000000003,42.29815595002237
89,21.85,0.759999999999998,42.82461181668542
90,21.97,0.75,43.25756562649461
91,22.15,0.6799999999999997,43.972877335109445
92,22.28,0.6083333333333307,44.79579574529901
93,22.56,0.3866666666666667,45.381319249085976
94,22.79,0.21499999999999986,45.72207513543738
95,22.93,0.13333333333333286,45.84750907305949
96,23.08,0.04166666666666785,45.85406080297397
97,23.18,0.0,45.762197452777414
98,23.1,0.029999999999997584,45.762197452777414
99,23.09,-0.10800000000000054,45.46096903819136
100,22.99,-0.1559999999999988,45.26329600735171
101,22.95,-0.26399999999999935,45.072366264140165
102,23.01,-0.4720000000000013,44.918694870991075
103,22.95,-0.5599999999999987,44.807104606241296
104,22.87,-0.8100000000000023,44.06308904432399
105,22.69,-0.804000000000002,42.72191627544583
106,22.54,-0.8279999999999994,41.54911107007884
107,22.23,-0.6920000000000002,40.661571955586176
108,21.91,-0.5459999999999994,40.06908295562274
109,21.61,-0.41999999999999815,39.48875220402575
110,21.29,0.08400000000000318,39.64469072171596
111,21.14,0.41799999999999926,40.05481961979687
112,20.95,0.7920000000000016,40.6058492060838
113,20.97,0.9559999999999995,41.21947673445906
114,21.11,1.0,41.801314763834625
115,21.29,0.9499999999999993,42.80470264337301
116,21.53,0.8039999999999985,43.823002224803744
117,21.85,0.5779999999999994,44.603945032192776
118,22.09,0.4319999999999986,45.173334324743514
119,22.3,0.31599999999999895,45.49448116295146
120,22.48,0.23000000000000043,45.83531442451428
121,22.64,0.1316666666666677,46.179314023897874
122,22.73,0.10333333333333172,46.542153823716106
123,22.83,0.06500000000000128,46.85844659780157
124,22.85,0.10666666666666558,47.06530342683959
125,22.99,0.028333333333332433,47.02792520484783
126,23.15,-0.07000000000000028,46.81239381953458
127,23.16,-0.14000000000000057,46.7310890195197
128,23.13,-0.15200000000000102,46.46643092623949
129,23.07,-0.13400000000000034,46.32629095315782
130,22.95,-0.05600000000000094,46.21744117982904
131,22.84,0.012000000000000455,46.16213013546298
132,22.79,0.019999999999999574,46.133228976708246
133,22.9,0.0,46.20277509298111
134,22.83,0.16166666666666885,46.510489540373136
135,22.97,0.11333333333333329,46.76097338507952
136,23.02,0.15499999999999758,46.93233123319954
137,23.15,0.11666666666666714,47.00392630795535
138,23.25,0.10833333333333428,46.976432542095075
139,23.31,0.14000000000000057,46.845240857802715
140,23.47,-0.00999999999999801,46.89751988625996
141,23.45,-0.013999999999999346,46.856590208499306
142,23.42,-0.008000000000002672,46.81953522050708
143,23.43,-0.04199999999999804,46.803028651228146
144,23.27,0.0940000000000012,46.85399434629105
145,23.29,0.05000000000000071,46.94170548864966
146,23.26,0.05999999999999872,46.98619705600862
147,23.24,0.05666666666666842,46.93527372129812
148,23.32,-0.046666666666666856,46.87729910810621
149,23.34,-0.08999999999999986,46.79199367460407
150,23.39,-0.163333333333334,46.68618619974605
151,23.4,-0.19666666666666544,46.56133575576886
152,23.4,-0.21999999999999886,46.42436689005269
153,23.37,-0.21499999999999986,46.180489087881654
154,23.36,-0.23000000000000043,45.93987580714445
155,23.32,-0.21499999999999986,45.743319703940074
156,23.25,-0.16999999999999815,45.571716877724846
157,23.25,-0.19500000000000028,45.46906080444888
158,23.16,-0.129999999999999,45.40845596553404
159,23.13,-0.11999999999999744,45.302443470668734
160,23.0,-0.07333333333333059,44.98611643881807
161,22.98,-0.13666666666666671,44.78320666224901
162,22.91,-0.14999999999999858,44.67034189487415
163,22.84,-0.16333333333333044,44.5711167966286
164,22.79,-0.19666666666666544,44.53839415235971
165,22.74,-0.22999999999999687,44.503203641092966
166,22.75,-0.3099999999999987,44.214914337214545
167,22.63,-0.37166666666666615,43.471919490236864
168,22.57,-0.4933333333333323,42.8120191679715
169,22.54,-0.644999999999996,42.20631241366804
170,22.49,-0.7766666666666637,41.68786002631073
171,22.31,-0.7783333333333324,41.30906518458308
172,22.11,-0.759999999999998,41.09987985401408
173,21.88,-0.7333333333333307,39.65483958706787
174,21.59,-0.6466666666666647,38.53930550061334
175,21.25,-0.509999999999998,37.75001986888106
176,20.93,-0.3933333333333344,37.331528137834184
177,20.61,-0.2766666666666673,37.23790284413311
178,20.3,-0.1700000000000017,37.42928550252359
179,20.09,-0.010000000000001563,37.368602829330364
180,19.9,0.07000000000000028,37.200287150179165
181,19.82,0.03999999999999915,37.17348457852582
182,19.72,0.030000000000001137,37.27861187957785
183,19.58,0.060000000000002274,37.54043577051139
184,19.44,0.08999999999999986,37.891815326814104
185,19.3,0.019999999999999574,37.91673355215878
