,speed (m/s),speed difference (m/s),distance (m)
126,19.74,1.7200000000000024,32.44985277615119
127,20.7,1.1900000000000013,33.899029684321086
128,21.73,0.4800000000000004,34.70141467136095
129,22.57,-0.14000000000000057,34.88227844926864
130,22.72,0.0400000000000027,34.843456103012905
391,22.682,0.3680000000000021,35.269436055185906
392,22.644,0.6660000000000004,35.97705933363076
131,22.606,0.9339999999999975,36.923498385529356
393,22.568,1.1020000000000003,37.95035491027177
132,22.53,1.2199999999999989,39.09274169663354
133,22.66,1.120000000000001,40.34717440188768
134,22.87,0.8999999999999986,41.345877815215644
135,23.18,0.5500000000000007,42.028152137963616
136,23.52,0.030000000000001137,42.2838866763663
137,23.84,-0.33999999999999986,42.10586426158999
138,23.98,-0.6400000000000006,41.54373689918565
139,23.82,-0.6900000000000013,40.874512164269085
140,24.02,-0.9699999999999989,40.03803807885247
141,24.22,-1.2399999999999984,38.86367602813371
142,24.42,-1.5800000000000018,37.39316380683277
143,24.24,-1.3499999999999979,35.90818869824773
144,24.03,-1.0500000000000007,34.731881073878846
145,23.87,-0.8000000000000007,33.804663638206364
146,23.85,-0.6000000000000014,33.1668466747321
394,23.87,-0.5400000000000027,32.49611113615222
147,23.89,-0.379999999999999,32.00187948123593
148,23.6,0.08999999999999986,31.82815652622821
149,23.33,0.370000000000001,32.07133146015045
150,23.29,0.4499999999999993,32.441335095628794
151,23.34,0.33000000000000185,32.802078947497016
152,23.38,0.2900000000000027,33.12649328319478
153,23.41,0.16999999999999815,33.32998088391825
154,23.72,-0.33999999999999986,33.29310109262859
155,24.11,-0.8999999999999986,32.65350567308168
156,24.24,-1.2999999999999972,31.495429894574308
157,24.2,-1.5999999999999979,29.985983920320862
158,23.74,-1.4399999999999977,28.4442320672625
159,23.44,-1.3100000000000023,27.07689533363192
160,23.05,-1.120000000000001,25.804699453463257
161,22.52,-0.6699999999999982,24.933094300387854
162,22.05,-0.08000000000000185,24.64623033991126
163,21.63,0.5199999999999996,24.93336691246911
164,21.45,0.8300000000000018,25.62999562742571
395,21.564999999999998,0.995000000000001,26.439974473803808
396,21.68,1.1099999999999994,27.486871831938213
397,21.795,1.134999999999998,28.731106177285213
398,21.91,1.1699999999999982,30.08111492513471
399,22.025,1.1550000000000011,31.532034376320322
165,22.14,0.9600000000000009,33.019856784114516
166,22.1,0.9899999999999984,34.04561272053233
167,22.03,0.9599999999999973,35.04120248297955
168,22.37,0.5799999999999983,35.97410830649694
169,23.23,-0.21999999999999886,36.18942116161575
170,24.2,-1.25,35.416214100112576
171,24.58,-1.7099999999999973,33.85998909929698
172,24.1,-1.4100000000000001,32.341689276661725
173,23.55,-1.0100000000000016,31.216743135550438
174,23.38,-1.1499999999999986,30.22270969493587
175,23.81,-1.8999999999999986,28.673212031380885
176,23.41,-1.8000000000000007,26.814236549517148
177,22.89,-1.6000000000000014,25.159279318558436
178,22.39,-1.25,23.741453435171177
400,22.19142857142857,-1.241428571428571,23.648436642387697
401,21.992857142857144,-1.022857142857145,23.497217446667882
402,21.794285714285714,-0.6842857142857142,23.377571489600893
403,21.595714285714287,-0.3057142857142878,23.447111084708553
404,21.397142857142857,0.13285714285714434,23.781263810268914
405,21.19857142857143,0.6514285714285712,24.354027141756383
179,21.0,1.0899999999999999,25.14201232627958
180,20.98,1.3200000000000003,26.403277085511945
181,21.74,0.740000000000002,27.256337064732538
182,21.44,1.1999999999999993,28.144401521634002
183,21.05,1.6799999999999997,29.577626188832067
184,21.17,1.6599999999999966,31.25596268049109
185,21.21,1.6400000000000006,32.847880651281685
186,21.29,1.6999999999999993,34.612424770672014
187,22.15,1.0,35.90551595025909
188,22.29,0.870000000000001,36.70542316790359
406,22.369999999999997,0.7600000000000016,37.40528431015337
407,22.45,0.620000000000001,37.99713645194471
408,22.53,0.41999999999999815,38.475845840152346
409,22.61,0.23000000000000043,38.79449219471538
410,22.689999999999998,0.10000000000000142,39.0482392019381
189,22.77,0.129999999999999,39.40817590780314
190,22.88,-0.05000000000000071,39.42829325694908
191,22.96,0.00999999999999801,39.42250457476977
192,22.73,0.28999999999999915,39.64718686745976
193,22.43,0.7199999999999989,40.26029656506621
194,22.58,0.6700000000000017,41.01372364129418
195,23.25,0.05999999999999872,41.47437274383993
196,24.05,-0.5800000000000018,41.175872122744856
197,24.56,-1.1099999999999994,40.228423731960554
198,24.77,-1.3499999999999979,38.96164543017399
411,24.47833333333333,-1.048333333333332,38.45264157501847
412,24.186666666666667,-0.9166666666666679,37.87323010216836
413,23.895,-0.6050000000000004,37.26142154698972
