,speed (m/s),speed difference (m/s),distance (m)
50,5.39,3.87,30.70627753456549
51,6.82,3.629999999999999,34.49166424724254
52,8.27,3.17,37.83591267309307
53,9.62,2.5,40.574838857169674
54,10.56,1.8099999999999987,42.704385308362156
55,11.31,1.0999999999999996,44.12039213858907
56,11.71,0.4599999999999991,44.727566640123655
603,12.295000000000002,-0.3450000000000024,44.35304732583906
57,12.88,-1.1500000000000004,43.73543430556945
58,13.37,-1.799999999999999,42.19754541350141
604,13.515,-1.995000000000001,40.11673709224243
59,13.66,-2.2300000000000004,37.95158104799973
60,13.58,-1.9800000000000004,35.83015047701107
61,13.61,-1.6799999999999997,34.01847197612841
62,13.46,-1.0700000000000003,32.77833242054814
605,13.100000000000001,-0.1700000000000017,32.2998298500797
63,12.74,0.6699999999999999,32.34031692478399
64,12.62,1.0100000000000016,33.066915012031195
606,12.805,0.9050000000000011,33.864726749551416
65,12.99,0.4800000000000004,34.59492897647101
66,13.01,0.21000000000000085,34.87445362312977
607,13.035,-0.0649999999999995,34.84148481993281
67,13.06,-0.34999999999999964,34.52941884281338
68,13.17,-0.6799999999999997,33.95119193758568
608,13.16,-0.9199999999999999,33.152193487866015
69,13.15,-1.17,32.15212396109956
70,12.96,-1.370000000000001,30.880205907274938
71,12.72,-2.1800000000000015,29.00276540838913
72,12.17,-2.7200000000000006,26.511371513829097
609,11.105,-2.8150000000000013,24.194839718193958
73,10.04,-2.829999999999999,20.766770950861495
74,8.67,-2.34,18.114612028455287
610,7.345,-1.3449999999999998,17.184105465723853
75,6.02,0.08000000000000007,16.10512501904815
76,5.48,1.5199999999999996,16.922161405118796
611,6.265000000000001,1.7749999999999986,18.447710435481252
77,7.05,2.04,21.01142331336287
78,8.13,1.8999999999999986,22.970560726724397
612,9.305,1.375,23.985653965237766
79,10.48,0.6600000000000001,25.58506093958992
80,10.97,0.33999999999999986,26.057376469568155
613,11.254999999999999,-0.004999999999999005,26.041777786955166
81,11.54,-0.4299999999999997,25.923307269812913
82,11.44,-0.6099999999999994,25.370908103420472
614,11.205,-0.5050000000000008,24.83082310808172
83,10.97,-0.15000000000000036,24.266748695121354
84,10.93,0.35999999999999943,24.373677308937996
615,11.094999999999999,0.9650000000000016,25.043396180539844
85,11.26,1.4800000000000004,26.42035271261198
86,11.89,1.3899999999999988,27.852711231384426
616,12.2,1.3000000000000007,28.96195351856027
87,12.51,1.0099999999999998,30.202324544124156
88,12.96,0.33999999999999986,30.891004532209227
617,13.225000000000001,-0.20500000000000185,30.836645408017155
89,13.49,-0.8499999999999996,30.433317120103926
90,13.78,-1.4399999999999995,29.243322207513376
618,13.48,-1.4900000000000002,27.78226234499869
91,13.18,-1.5600000000000005,25.981478766960148
92,12.9,-1.6300000000000008,24.386154505327735
619,12.625,-1.4250000000000007,23.034876976794525
93,12.35,-0.9100000000000001,21.766873977042568
94,12.09,-0.16000000000000014,21.25706251265995
620,12.08,0.4900000000000002,21.628918605006064
95,12.07,1.1899999999999995,22.65950302867007
96,12.61,1.3000000000000007,23.950891674183236
621,13.235,1.1750000000000007,24.939069890252338
97,13.86,0.9100000000000001,26.327675650914898
98,14.41,0.5999999999999996,27.073281903680538
622,14.645,0.4350000000000005,27.452399784637418
99,14.88,0.1899999999999995,27.86219898818953
100,15.2,-0.25,27.76903187615566
623,15.37,-0.5699999999999985,27.099692178220355
101,15.54,-1.0199999999999996,26.214154557650627
102,15.53,-1.25,25.06920789634646
624,15.29,-1.3099999999999987,23.87972579895097
103,15.05,-1.3399999999999999,22.398116857853054
104,14.71,-1.2700000000000014,21.05479767295975
625,14.33,-1.040000000000001,20.082535338110656
105,13.95,-0.75,18.97108140403745
106,13.58,-0.41999999999999993,18.383624647141406
626,13.373333333333333,-0.38333333333333286,18.197018099159006
627,13.166666666666668,-0.18666666666666742,17.94835561067633
107,12.96,-0.010000000000001563,17.634900073746202
108,12.78,0.13000000000000078,17.685734173433552
628,12.79,0.040000000000000924,17.75655487024286
109,12.8,-0.030000000000001137,17.771865747761456
110,12.81,-0.08000000000000007,17.720418372180703
629,12.765,0.02499999999999858,17.72775318736461
111,12.72,0.1899999999999995,17.820440461477883
112,12.78,0.33000000000000007,18.09634538911209
630,12.864999999999998,0.5450000000000017,18.594807086837587
113,12.95,0.8399999999999999,19.40854512386181
114,13.08,1.1400000000000006,20.42818798788301
631,13.385,1.2550000000000008,21.50439081409822
115,13.69,1.2800000000000011,22.932454701048457
116,13.98,1.17,24.185800432199134
632,14.363333333333333,0.8566666666666674,24.76786658745872
633,14.746666666666668,0.40333333333333243,25.34333429080075
117,15.13,-0.15000000000000036,25.806000947843955
634,15.18,-0.46999999999999886,25.329785489528792
635,15.23,-0.8399999999999999,24.55467201562012
118,15.28,-1.1999999999999993,23.46277416168298
119,15.21,-1.3900000000000006,22.09676852367509
636,14.975000000000001,-1.3150000000000013,20.80625941877295
120,14.74,-1.1300000000000008,19.445821951184033
121,14.44,-0.75,18.530330936380416
637,14.25,-0.5299999999999994,18.05554561555554
122,14.06,-0.41000000000000014,17.559996941879337
123,13.94,-0.379999999999999,17.27232337987157
638,13.695,-0.16500000000000092,17.348732422796775
124,13.45,0.02000000000000135,17.370186353884797
125,13.37,-0.03999999999999915,17.363911103011553
639,13.35,-0.02999999999999936,17.409143886321477
640,13.33,-0.08000000000000007,17.405512199328157
126,13.31,-0.02000000000000135,17.40725165486221
127,13.36,-0.07000000000000028,17.41887402692036
641,13.105,0.20500000000000007,17.590155867020364
128,12.85,0.41000000000000014,17.726881989088426
129,12.81,0.4499999999999993,18.14180303580757
642,12.825,0.4250000000000007,18.580192039162544
130,12.84,0.4900000000000002,19.09241754894366
131,13.04,0.40000000000000036,19.57980589007704
643,13.105,0.40499999999999936,19.962252350655458
132,13.17,0.3699999999999992,20.389036691784028
133,13.21,0.3199999999999985,20.758883211208012
644,13.25,0.2599999999999998,20.887761674237915
645,13.290000000000001,0.06999999999999851,20.936530939685117
134,13.33,-0.019999999999999574,20.890282477103483
135,13.24,-0.019999999999999574,20.800592506039255
646,13.27,-0.019999999999999574,20.801312410849363
136,13.3,0.27999999999999936,20.963539704961885
137,13.44,0.6600000000000001,21.43320385932139
647,13.835,0.9949999999999992,22.08916652854809
138,14.23,1.1799999999999997,23.398680811684486
139,14.73,1.1199999999999992,24.533299763131343
648,15.286666666666667,0.8333333333333339,24.978560215213815
649,15.843333333333332,0.30666666666666664,25.582470252606623
140,16.4,-0.21999999999999886,26.187372173696094
141,16.49,-0.4499999999999993,25.88066472412439
650,16.534999999999997,-0.6749999999999972,25.177131484881862
142,16.58,-0.8899999999999988,24.299608619352746
143,16.34,-0.8200000000000003,23.41755677383121
651,15.996666666666666,-0.6466666666666665,23.067455219184048
652,15.653333333333334,-0.4733333333333345,22.5186447694766
144,15.31,-0.16999999999999993,21.901925818191337
653,15.193333333333333,0.1466666666666665,22.01558469355808
654,15.076666666666668,0.5233333333333317,22.3688474139522
145,14.96,0.9899999999999984,23.0437464553807
146,14.91,1.4800000000000004,24.342544373698946
655,15.055,1.625,25.98527081004417
