,speed (m/s),speed difference (m/s),distance (m)
50,2.9,4.130000000000001,18.462663973440748
51,3.56,4.559999999999999,23.853411423412247
52,4.65,4.5,28.672921551809683
53,5.81,4.340000000000001,33.10272668027707
54,7.17,4.09,37.33657282006765
55,8.77,3.5199999999999996,41.08715193183729
56,10.2,3.0200000000000014,44.319261655161974
57,11.61,2.3000000000000007,46.99233510352149
58,12.98,1.4499999999999993,48.80633822362064
59,14.32,0.5600000000000005,49.77702937860094
60,15.6,-0.16000000000000014,49.91678593889484
61,16.86,-0.9499999999999993,49.33000727877808
62,18.0,-1.5700000000000003,48.03228236994088
63,19.18,-2.280000000000001,46.038312478212916
64,19.8,-2.4499999999999993,43.55530419241216
65,19.68,-1.9199999999999982,41.40734489629769
66,19.58,-1.4499999999999993,39.74628359806286
67,19.3,-0.8500000000000014,38.66381043329145
68,19.05,-0.41000000000000014,38.01318360036031
69,18.81,0.240000000000002,37.94755093173349
70,18.7,0.7899999999999991,38.50014445756575
71,18.74,1.2100000000000009,39.516377920206374
72,18.94,1.4399999999999977,40.841340071036264
73,19.35,1.3099999999999987,42.24075685986144
74,19.85,0.9799999999999969,43.372582797773056
75,20.32,0.8099999999999987,44.232315643280195
76,20.75,0.870000000000001,45.014117943334426
77,21.16,1.0199999999999996,45.9562585119737
78,21.61,1.1700000000000017,47.06161948191556
79,22.2,1.2100000000000009,48.28569296276323
80,22.87,1.0,49.38797271364715
81,23.5,0.8099999999999987,50.29109596390806
82,24.1,0.5899999999999999,50.92891787851957
83,24.63,0.4299999999999997,51.446716094407414
84,25.06,0.3500000000000014,51.88127765679143
85,25.43,-0.019999999999999574,52.00268164396576
86,25.77,-0.3299999999999983,51.78252741659355
87,25.95,-0.4499999999999993,51.36317643739646
88,26.0,-0.4299999999999997,50.926308366215515
89,25.97,-0.29999999999999716,50.550997974013015
90,25.94,-0.22000000000000242,50.25366770635996
91,25.88,-0.09999999999999787,50.107178145238194
92,25.84,0.019999999999999574,50.07524593997733
93,25.78,0.10999999999999943,50.09964234542754
94,25.77,0.15000000000000213,50.22947902159452
95,25.74,0.14000000000000057,50.4035868275458
96,25.74,0.0400000000000027,50.51212795427333
97,25.75,-0.4200000000000017,50.268923938862706
98,25.79,-0.9199999999999982,49.566559539142425
99,25.69,-1.2699999999999996,48.45576662454096
100,25.54,-1.5700000000000003,46.99527044911302
101,25.2,-1.7100000000000009,45.31399462365496
102,24.77,-1.7399999999999984,43.58412388460554
103,24.36,-1.759999999999998,41.81103359786264
104,23.95,-1.8200000000000003,40.01124133544235
105,23.56,-1.9199999999999982,38.13046571259496
106,23.11,-1.9899999999999984,36.151249063498355
107,22.58,-2.009999999999998,34.152678611953476
108,22.07,-2.210000000000001,32.042805590659086
109,21.26,-1.9800000000000004,29.91493817122677
110,20.13,-1.3000000000000007,28.27931594692261
111,18.92,-0.5,27.449115391467508
112,17.85,0.16999999999999815,27.331329263718168
113,17.07,0.6799999999999997,27.785550009218387
114,16.49,1.3200000000000003,28.83104813260917
115,16.1,1.9899999999999984,30.551441256400274
116,16.09,2.370000000000001,32.7873147271844
117,16.36,2.4200000000000017,35.14216470712041
118,16.94,2.169999999999998,37.37663046604505
119,17.57,2.0199999999999996,39.45510478325665
120,18.19,2.09,41.51677570330235
121,18.95,2.0700000000000003,43.60890146584469
122,19.77,1.6600000000000001,45.44303051603673
123,20.57,1.1600000000000001,46.75259917689093
124,21.31,0.75,47.64233338355347
125,21.96,0.5199999999999996,48.22233669310293
126,22.49,0.45000000000000284,48.725747476233416
127,22.87,0.3099999999999987,49.09687397689574
128,23.31,-0.129999999999999,49.163817667414186
129,23.58,-0.5399999999999991,48.81253772097409
130,23.66,-0.6900000000000013,48.14225690482645
131,23.7,-0.5299999999999976,47.508714196825935
132,23.66,-0.3099999999999987,47.06148079000149
133,23.64,-0.030000000000001137,46.89417105632406
134,23.59,0.28999999999999915,47.032896708075725
135,23.63,0.33000000000000185,47.31504894605238
136,23.75,0.05999999999999872,47.46335256614109
137,23.83,-0.10999999999999943,47.40069848160787
138,23.83,-0.3099999999999987,47.16799141230597
139,23.73,-0.35999999999999943,46.82510730601118
140,23.6,-0.3000000000000007,46.49240043428104
141,23.51,-0.10000000000000142,46.29612378488934
142,23.44,0.16000000000000014,46.334582157096094
143,23.4,0.5500000000000007,46.72831483770812
144,23.44,1.0,47.5327117436849
145,23.72,1.0800000000000018,48.59485333422927
146,24.07,1.2399999999999984,49.776455034605924
147,24.57,0.870000000000001,50.834925511276545
148,25.13,0.33999999999999986,51.390892704293975
149,25.57,-0.03999999999999915,51.50927306207172
150,25.85,-0.33000000000000185,51.26431878001473
