,speed,spacing,speed difference
694165,25.06942,62.85692,5.41368
694166,24.98291,63.53898,6.82048
694167,24.93917,64.14564,6.06666
694168,24.91768,64.68258,5.36932
694169,24.90817,65.15975,4.77185
694170,24.90561,65.59075,4.30997
694171,24.90804,65.98993,3.99167
694172,24.91519,66.37021,3.80295
694173,24.92795,66.74295,3.72716
694174,24.948430000000002,67.11923,3.76283
694175,24.9771,67.51276,3.93553
694176,25.00374,67.93983,4.27073
694177,25.01043,68.41233,4.7249
694178,24.99026,68.92897,5.16634
694179,24.95217,69.47549,5.46506
694180,24.905640000000002,70.03435,5.5888100000000005
694181,24.85046,70.59341,5.59042
694182,24.7771,71.1464,5.52976
694183,24.67041,71.68894,5.42586
694184,24.50486,72.2126,5.23639
694185,24.22992,72.69698,4.8439
694186,23.79521,73.1081,4.11092
694187,23.2251,73.40994,3.0186
694188,22.63051,73.58127,1.71319
694189,22.12562,73.61919,0.37903000000000003
694190,21.76522,73.5315,-0.8767100000000001
694191,21.55436,73.32966,-2.01834
694192,21.4816,73.02602,-3.03645
694193,21.5437,72.63432,-3.91716
694194,21.76398,72.17224,-4.62057
694195,22.18579,71.66368,-5.0857
694196,22.80843,71.13432,-5.29357
694197,23.55509,70.60447,-5.29878
694198,24.33806,70.08803,-5.16414
694199,25.10318,69.59639,-4.91644
694200,25.81857,69.14056,-4.55824
694201,26.46312,68.73241,-4.08124
694202,27.02129,68.38495,-3.47474
694203,27.48018,68.11142,-2.73567
694204,27.828310000000002,67.923,-1.8838
694205,28.05522,67.82405,-0.9897
694206,28.15154,67.80115,-0.22881
694207,28.11027,67.82349,0.22313000000000002
694208,27.92877,67.85975,0.36302
694209,27.61342,67.88701,0.27244
694210,27.18858,67.88846,0.0143
694211,26.71431,67.85528,-0.33169000000000004
694212,26.32044,67.79271,-0.6255900000000001
694213,26.12907,67.7187,-0.7402200000000001
694214,26.13422,67.65079,-0.6789000000000001
694215,26.26447,67.59961,-0.51171
694216,26.45922,67.56978,-0.29846
694217,26.6712,67.56119,-0.08599000000000001
694218,26.87641,67.57139,0.10207000000000001
694219,27.06844,67.59738,0.25978
694220,27.24774,67.63619,0.38829
694221,27.41647,67.68527,0.49091
694222,27.57677,67.74246,0.57182
694223,27.730150000000002,67.80607,0.63592
694224,27.87769,67.87506,0.69006
694225,28.02008,67.94951,0.7443200000000001
694226,28.15771,68.03088,0.8137500000000001
694227,28.29078,68.12287,0.91998
694228,28.41949,68.2319,1.09019
694229,28.54387,68.36644,1.34521
694230,28.66401,68.53415,1.6774900000000001
694231,28.77989,68.73865,2.04455
694232,28.8915,68.97815,2.39521
694233,28.99889,69.24806,2.69886
694234,29.10197,69.54285,2.94816
694235,29.20072,69.85777,3.14921
694236,29.29501,70.18941,3.31653
694237,29.38468,70.53642,3.46985
694238,29.46942,70.89954,3.6313
694239,29.54879,71.28134,3.81805
694240,29.62205,71.68396,4.02625
694241,29.68816,72.10676,4.22786
694242,29.74597,72.54574,4.38964
694243,29.79469,72.99462,4.48898
694244,29.83527,73.44606,4.51447
694245,29.87093,73.89197,4.45909
694246,29.90397,74.32355,4.31614
694247,29.93356,74.73173,4.08156
694248,29.95728,75.10689,3.75141
694249,29.97421,75.43865,3.31784
694250,29.9852,75.71673,2.78087
694251,29.9917,75.93396,2.17195
694252,29.99495,76.09026,1.56332
694253,29.9956,76.19462,1.04334
694254,29.99383,76.26165,0.67034
694255,29.98927,76.3066,0.44973
694256,29.9812,76.34233,0.35705000000000003
694257,29.96955,76.37996,0.37657
694258,29.95758,76.43258,0.52605
694259,29.95066,76.51542,0.8284100000000001
694260,29.94938,76.64033,1.24905
694261,29.94747,76.81021,1.69895
694262,29.93593,77.02074,2.10519
694263,29.90496,77.26556,2.44804
694264,29.84147,77.53724,2.71709
694265,29.72599,77.82218,2.84922
694266,29.5208,78.09439,2.72221
694267,29.15456,78.31411,2.19724
694268,28.567,78.43511,1.20995
694269,27.80308,78.42329,-0.11795000000000001
694270,27.01083,78.27081,-1.5251000000000001
694271,26.32602,77.9918,-2.79029
694272,25.79823,77.61194,-3.79846
694273,25.40774,77.16099,-4.50962
694274,25.10571,76.66628,-4.94692
694275,24.84072,76.14452,-5.21738
