,speed,spacing,speed difference
816417,38.01207,67.82828,1.01807
816427,35.61096,67.33317,-3.11302
816437,32.03671,61.57156,-6.99115
816447,34.29016,57.3399,-0.18058000000000002
816457,35.28573,58.67083,1.49167
816467,33.59209,59.9501,1.25623
816477,29.20204,59.60722,-2.01751
816487,22.11555,55.35731,-5.7608
816497,12.34049,46.84586,-11.21834
816507,1.87792,32.55673,-16.31457
816517,7.82454,19.96489,-7.47884
816527,16.42093,17.80929,1.92582
816537,20.69347,22.95902,6.39728
816547,16.20108,28.68376,3.42746
816557,8.95666,28.96723,-1.59206
816567,3.73599,24.41853,-5.83045
816577,3.10243,19.53698,-4.08405
816587,7.10607,18.65762,2.74163
816597,8.44787,22.98681,3.88019
816607,3.9536100000000003,24.04462,0.273
816617,4.33947,24.68977,1.85138
816627,11.01814,29.22271,6.1687
816637,11.93402,34.79102,4.6932100000000005
816647,13.74806,38.10912,2.50213
816657,10.90515,37.06525,-3.9719800000000003
816667,11.82398,33.25279,-3.16011
816677,11.60728,31.22858,0.23612000000000002
816687,13.723,33.53304,3.71329
816697,15.40384,37.72599,3.80243
816707,18.94806,40.37881,2.71902
816717,19.90315,42.15896,1.12037
816727,19.941110000000002,41.80895,-0.9477700000000001
816737,21.86565,41.57641,1.41335
816747,22.965980000000002,44.21818,2.51513
816757,21.24554,44.38799,-1.95971
816767,22.5044,42.12329,0.22871000000000002
816777,22.99252,43.57284,0.7967200000000001
816787,22.00689,44.95377,1.40604
816797,20.04619,44.28297,-3.17865
816807,16.854,40.26378,-4.98337
816817,14.53294,35.2877,-5.06066
816827,10.10758,29.93261,-4.80417
816837,9.95469,27.94275,-0.06529
816847,5.8707,26.38347,-3.98163
816857,5.00381,23.57481,-0.6638400000000001
816867,5.00463,23.47848,0.0020700000000000002
816877,5.7707,23.70997,0.77014
816887,7.552,24.94899,2.55147
816897,11.2898,29.49797,6.26775
816907,14.8169,37.31733,7.73304
816917,14.72188,42.16402,2.34147
816927,18.51106,44.77937,2.68691
816937,20.20328,45.03163,0.11437000000000001
816947,23.7086,47.63081,3.75958
816957,24.49508,51.57103,4.26788
816967,24.87536,53.64748,-1.20843
816977,22.59537,50.56073,-3.17353
816987,20.86355,47.27805,-4.03169
816997,19.92438,42.69977,-4.10528
817007,20.03219,38.78569,-4.29534
817017,22.03107,36.00236,0.028540000000000003
817027,29.27385,40.19574,7.29855
817037,32.21454,47.89873,7.11805
817047,32.06821,53.0171,3.15712
817057,29.06788,54.37117,-0.23839000000000002
817067,28.03242,52.8857,-2.03608
817077,24.75413,48.86686,-5.4797
817087,22.83514,42.52605,-6.66329
817097,22.29029,37.17527,-3.95587
817107,23.05289,35.12559,-0.47743
